"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2020","3,372.85","3,368.66","3,378.51","3,361.64","-","-0.02%"
"Aug 17, 2020","3,381.99","3,380.86","3,387.59","3,379.22","-","0.27%"
"Aug 18, 2020","3,389.78","3,387.04","3,395.06","3,370.15","-","0.23%"
"Aug 19, 2020","3,374.85","3,392.51","3,399.54","3,369.66","-","-0.44%"
"Aug 20, 2020","3,385.51","3,360.48","3,390.80","3,354.69","-","0.32%"
"Aug 21, 2020","3,397.16","3,386.01","3,399.96","3,379.31","-","0.34%"
"Aug 24, 2020","3,431.28","3,418.09","3,432.09","3,413.13","-","1.00%"
"Aug 25, 2020","3,443.62","3,435.95","3,444.21","3,425.84","-","0.36%"
"Aug 26, 2020","3,478.73","3,449.97","3,481.07","3,444.15","-","1.02%"
"Aug 27, 2020","3,484.55","3,485.14","3,501.38","3,468.35","-","0.17%"
"Aug 28, 2020","3,508.01","3,494.69","3,509.23","3,484.32","-","0.67%"
"Aug 31, 2020","3,500.31","3,509.73","3,514.77","3,493.25","-","-0.22%"
"Sep 01, 2020","3,526.65","3,507.44","3,528.03","3,494.60","-","0.75%"
"Sep 02, 2020","3,580.84","3,543.76","3,588.11","3,535.23","-","1.54%"
"Sep 03, 2020","3,455.06","3,564.74","3,564.85","3,427.41","-","-3.51%"
"Sep 04, 2020","3,426.96","3,453.60","3,479.15","3,349.63","-","-0.81%"
"Sep 08, 2020","3,331.84","3,371.88","3,379.97","3,329.27","-","-2.78%"
"Sep 09, 2020","3,398.96","3,369.82","3,424.77","3,366.84","-","2.01%"
"Sep 10, 2020","3,339.19","3,412.56","3,425.55","3,329.25","-","-1.76%"
"Sep 11, 2020","3,340.97","3,352.70","3,368.95","3,310.47","-","0.05%"
"Sep 14, 2020","3,383.54","3,363.56","3,402.93","3,363.56","-","1.27%"
"Sep 15, 2020","3,401.20","3,407.73","3,419.48","3,389.25","-","0.52%"
"Sep 16, 2020","3,385.49","3,411.23","3,428.92","3,384.45","-","-0.46%"
"Sep 17, 2020","3,357.01","3,346.86","3,375.17","3,328.82","-","-0.84%"
"Sep 18, 2020","3,319.47","3,357.38","3,362.27","3,292.40","-","-1.12%"
"Sep 21, 2020","3,281.06","3,285.57","3,285.57","3,229.10","-","-1.16%"
"Sep 22, 2020","3,315.57","3,295.75","3,320.31","3,270.95","-","1.05%"
"Sep 23, 2020","3,236.92","3,320.11","3,323.35","3,232.57","-","-2.37%"
"Sep 24, 2020","3,246.59","3,226.14","3,278.70","3,209.45","-","0.30%"
"Sep 25, 2020","3,298.46","3,236.66","3,306.88","3,228.44","-","1.60%"
"Sep 28, 2020","3,351.60","3,333.90","3,360.74","3,332.91","-","1.61%"
"Sep 29, 2020","3,335.47","3,350.92","3,357.92","3,327.54","-","-0.48%"
"Sep 30, 2020","3,363.00","3,341.21","3,393.56","3,340.47","-","0.83%"
"Oct 01, 2020","3,380.80","3,385.87","3,397.18","3,361.39","-","0.53%"
"Oct 02, 2020","3,348.44","3,338.94","3,369.10","3,323.69","-","-0.96%"
"Oct 05, 2020","3,408.63","3,367.27","3,409.57","3,367.27","-","1.80%"
"Oct 06, 2020","3,360.95","3,408.74","3,431.56","3,354.54","-","-1.40%"
"Oct 07, 2020","3,419.45","3,384.56","3,426.26","3,384.56","-","1.74%"
"Oct 08, 2020","3,446.83","3,434.28","3,447.28","3,428.15","-","0.80%"
"Oct 09, 2020","3,477.13","3,459.67","3,482.34","3,458.07","-","0.88%"
"Oct 12, 2020","3,534.22","3,500.02","3,549.85","3,499.61","-","1.64%"
"Oct 13, 2020","3,511.93","3,534.01","3,534.01","3,500.86","-","-0.63%"
"Oct 14, 2020","3,488.67","3,515.47","3,527.94","3,480.55","-","-0.66%"
"Oct 15, 2020","3,483.34","3,453.72","3,489.08","3,440.89","-","-0.15%"
"Oct 16, 2020","3,483.81","3,493.50","3,515.76","3,480.45","-","0.01%"
"Oct 19, 2020","3,426.92","3,493.66","3,502.42","3,419.93","-","-1.63%"
"Oct 20, 2020","3,443.12","3,439.38","3,476.93","3,435.65","-","0.47%"
"Oct 21, 2020","3,435.56","3,439.91","3,464.86","3,433.06","-","-0.22%"
"Oct 22, 2020","3,453.49","3,438.50","3,460.53","3,415.34","-","0.52%"
"Oct 23, 2020","3,465.39","3,464.90","3,466.46","3,440.45","-","0.34%"
"Oct 26, 2020","3,400.97","3,441.42","3,441.42","3,364.86","-","-1.86%"
"Oct 27, 2020","3,390.68","3,403.15","3,409.51","3,388.71","-","-0.30%"
"Oct 28, 2020","3,271.03","3,342.48","3,342.48","3,268.89","-","-3.53%"
"Oct 29, 2020","3,310.11","3,277.17","3,341.05","3,259.82","-","1.19%"
"Oct 30, 2020","3,248.80","3,290.20","3,304.00","3,239.77","-","-1.85%"
